image_id,object_id,entity,xmin,xmax,ymin,ymax
0001f06463aef4a3,0,/m/07j7r,0.8162500262,0.9918749928,0.5616179705,0.7732830048
0004be5f2f0f1c66,0,/m/04dr76w,0.3808329999,0.9116669893,0.5306249857,0.6499999762
0005ea10e0e14db1,0,/m/0k4j,0.0,0.7552080154,0.0,0.6728519797
00070d8a5eeb4235,0,/m/04bcr3,0.0,0.7918750048,0.5316669941,0.9991670251
0009ffd4f02fadd0,0,/m/0dzct,0.6343749762,0.8512499928,0.2688469887,0.7157130241
000a0c9bcf87532e,0,/m/04yx4,0.8025000095,0.9381250143,0.351503998,0.9990599751
000aa0232503aafc,0,/m/07j7r,0.0,0.9056249857,0.0,0.349999994
000b8d80f7386698,0,/m/04yx4,0.0,0.1257809997,0.1103290021,0.9988260269
000de2d23a112361,0,/m/04dr76w,0.2134149969,0.3498480022,0.5,0.8387500048
00152da819c824d4,0,/m/0cdl1,0.5947920084,0.8583329916,0.0,0.318749994
00182181e687981d,0,/m/04dr76w,0.5591719747,0.6735699773,0.2278860062,0.4565219879
00182e06281874be,0,/m/01xyhv,0.4743750095,0.6337500215,0.4287689924,0.7676349878
0018a6bad69af631,0,/m/03ssj5,0.0,0.9993749857,0.3174999952,0.9991670251
001a63f2bff24c20,0,/m/0167gd,0.4319069982,0.8547340035,0.06355399638,0.9001299739
001d5125f56451d6,0,/m/07j7r,0.3224999905,0.5174999833,0.2298309952,0.6529080272
001f9cae0dee88b9,0,/m/07j7r,0.0,0.2112500072,0.0,0.5586029887
001fdb66099bff5b,0,/m/02dl1y,0.4185259938,0.6923599839,0.01062500011,0.265625
0022449a9546b5c1,0,/m/04yx4,0.5586079955,0.8095239997,0.4826219976,0.7764610052
0022ef286ceb095f,0,/m/06msq,0.2899999917,0.4106250107,0.2166669965,0.3966670036
0028d8db5f3295dd,0,/m/02wv6h6,0.09969300032,0.8880370259,0.4581249952,0.9506250024
002901902b4f8fb6,0,/m/06z37_,0.1237500012,0.3212499917,0.0,0.3189490139
0029d6713add6e62,0,/m/0pg52,0.4301080108,0.9973120093,0.5498049855,0.7265620232
002d1b6fd06ba116,0,/m/03__z0,0.0,0.4918749928,0.07083299756,0.2891669869
002d39afecfd8113,0,/m/057cc,0.4793750048,0.9718750119,0.5920270085,0.8126249909
002dc3132ae9aa71,0,/m/04m6gz,0.003125000047,0.8081250191,0.4679850042,0.6487759948
002dcd8640e53bb8,0,/m/07c52,0.5328119993,0.9187499881,0.237499997,0.8729169965
00311d28415aa937,0,/m/0fm3zh,0.08250000328,0.2349999994,0.7931249738,0.9300000072
003757cfa205148b,0,/m/0fly7,0.0,0.1031249985,0.7975000143,0.9991670251
003b80fc0494a9f4,0,/m/050k8,0.3546879888,0.7624999881,0.0611759983,0.7764710188
003c6961f6336c53,0,/m/033rq4,0.2668749988,0.3474999964,0.4462499917,0.8031250238
003ec1e9e97a7053,0,/m/07j7r,0.3693749905,0.9993749857,0.0,0.4049200118
004191de97995e99,0,/m/02xwb,0.5281249881,0.6618750095,0.3658330142,0.5741670132
00495c08e6ef8da9,0,/m/01xyhv,0.228125006,0.3493750095,0.2992500067,0.8564730287
004dec94c5de631f,0,/m/04169hn,0.2506250143,0.6768749952,0.2824999988,0.7316669822
004e97b29e423be6,0,/m/0342h,0.7293750048,0.9087499976,0.5208330154,0.7375000119
004f24ba0f98b1a0,0,/m/083wq,0.6881250143,0.9793750048,0.005890000146,0.9430630207
004f6f1618527205,0,/m/0h8mhzd,0.3588880002,0.6006739736,0.1806250066,0.4793750048
0053f472bc37e550,0,/m/03hlz0c,0.0,0.4412499964,0.1939740032,0.4369109869
00569f93fee9ef20,0,/m/0dzct,0.2418749928,0.4043749869,0.1619590074,0.4708099961
005ba76304b04b28,0,/m/02wbm,0.5787500143,0.9993749857,0.4603770077,0.9990569949
005e097401d86c4c,0,/m/0284d,0.6546880007,0.9117190242,0.8945310116,0.9990230203
006e452efd8b8271,0,/m/09728,0.3112500012,0.8762500286,0.0,0.3533329964
006e910bea677138,0,/m/0hg7b,0.07356300205,0.3839080036,0.2162580043,0.365031004
00712e4c572bc325,0,/m/0ch_cf,0.2599999905,0.7216669917,0.375,0.9125000238
007191c09b7f8548,0,/m/03bt1vf,0.2306250036,0.3506250083,0.4526900053,0.9035249949
007312875161ca61,0,/m/0dzct,0.4449999928,0.6600000262,0.1037499979,0.3625000119
00760c94a78ce806,0,/m/0hg7b,0.5099999905,0.8224999905,0.4850000143,0.5874999762
0076dce7e8685a71,0,/m/0dzct,0.3468750119,0.8443750143,0.1058330014,0.885833025
0077a417d33f0ddb,0,/m/01g317,0.2472220063,0.3638890088,0.7937499881,0.9895830154
007994f7c819381e,0,/m/09j2d,0.7475000024,0.9956250191,0.4864610136,0.9990659952
007a2a20d20b99c4,0,/m/0gjkl,0.5109379888,0.7468749881,0.4234380126,0.7406250238
007a3c84962984f8,0,/m/0gjbg72,0.7226560116,0.9992190003,0.0,0.7906249762
007d30f0192f913a,0,/m/04yx4,0.375,0.6324999928,0.3317669928,0.9990599751
00805e9889dcd944,0,/m/03bt1vf,0.381249994,0.6056249738,0.481667012,0.989166975
0088e11ce1071a1e,0,/m/01xyhv,0.415625006,0.7156249881,0.3249999881,0.9992190003
008cbce3d46712fa,0,/m/0h8mhzd,0.4174999893,0.6212499738,0.0,0.1652770042
008eb158a2eea53e,0,/m/0c9ph5,0.3709509969,0.8819230199,0.6460940242,0.9992190003
0090bdd9d012cb8c,0,/m/01rzcn,0.000624999986,0.9962499738,0.7787039876,0.9990739822
009ab65fbcbd7add,0,/m/06__v,0.3199999928,0.4174999893,0.2560749948,0.9700930119
009c18837403aa70,0,/m/07j7r,0.01882399991,0.3141179979,0.0,0.6619470119
009d661e06a26b9e,0,/m/01g317,0.5343750119,0.7231249809,0.5895770192,0.9218239784
009fa98953c23664,0,/m/04yx4,0.5127000213,0.714016974,0.1556250006,0.5012500286
00a3cd901721e453,0,/m/02h19r,0.4562500119,0.6600000262,0.4774860144,0.9990620017
00a5b135f1c45885,0,/m/0dtln,0.2775000036,0.6191669703,0.08375000209,0.9987499714
00a5e66a7d17a02b,0,/m/0dzct,0.2163850069,0.3408379853,0.2335499972,0.4995369911
00a98991ebdb4930,0,/m/03hl4l9,0.1302080005,0.5590280294,0.8359379768,0.9986979961
00a9e8a54a8739a0,0,/m/09j2d,0.4898279905,0.6948360205,0.3600000143,0.9929410219
00ae7b88ce898130,0,/m/07j7r,0.7375000119,0.9412500262,0.0,0.3663879931
00b050db61570c1f,0,/m/033rq4,0.0,0.3149999976,0.1416669935,0.4600000083
00b6b1e9e7fe16f5,0,/m/01_bhs,0.446875006,0.6937500238,0.6281250119,0.8015620112
00b7fb592b11ceb1,0,/m/07j7r,0.0,0.2745099962,0.0,0.2025000006
00c2d468bd5d1c36,0,/m/0342h,0.09937500209,0.7218750119,0.09789600223,0.7516180277
00cc72aec06e451b,0,/m/0d4v4,0.02187499963,0.2949999869,0.1111110002,0.5301319957
00d4da7256eb8ec5,0,/m/03bt1vf,0.5703120232,0.8173829913,0.6090779901,0.9326500297
00d553a197fa79a2,0,/m/0dtln,0.7581250072,0.8862500191,0.4094089866,0.8728730083
00d7b4914b61ca2f,0,/m/01g317,0.5062500238,0.7587500215,0.4273970127,0.9990869761
00dc47b29c30b9bf,0,/m/0dzct,0.4041669965,0.6166669726,0.234375,0.381249994
00e22367d9850c8a,0,/m/07j7r,0.8318750262,0.9993749857,0.269167006,0.5691670179
00e38e4fca4d4800,0,/m/03bj1,0.75,0.9199219942,0.375,0.6899999976
00e67752ff3b97f6,0,/m/04hgtk,0.05874999985,0.4637500048,0.3011260033,0.6529080272
00e72b17a0d7cadf,0,/m/06msq,0.4287109971,0.5957030058,0.1815519929,0.6969249845
00e7f1a520cafb36,0,/m/04yx4,0.7316669822,0.8700000048,0.2425000072,0.5187500119
00ea602a9f7eccc2,0,/m/04_sv,0.5828120112,0.8148440123,0.4166670144,0.578125
00ea6964a1a01fae,0,/m/0dzct,0.3822219968,0.573333025,0.1633329988,0.3266670108
00f7a28203ccfda4,0,/m/025nd,0.7699999809,0.9993749857,0.0,0.6708329916
00fc6771ee6a758d,0,/m/0cyhj_,0.1474999934,0.275000006,0.480832994,0.6416670084
00fe9906e43d175f,0,/m/03hl4l9,0.5818750262,0.9993749857,0.3883329928,0.9975000024
00febb4220940162,0,/m/04yx4,0.2135419995,0.7265620232,0.0849609971,0.9111329913
01062638666fc36a,0,/m/07j7r,0.6812499762,0.9993749857,0.0,0.5938090086
010815a634ad0e39,0,/m/01xygc,0.0,0.9990620017,0.4337500036,0.9993749857
0108f97ca12aaf61,0,/m/06m11,0.04904400185,0.385702014,0.03312499821,0.287499994
010abf7ee37c002b,0,/m/02p5f1q,0.0,0.1187499985,0.6318839788,0.9681159854
010ef5d65e9f5d6c,0,/m/0c9ph5,0.6962890029,0.8398439884,0.28125,0.5390620232
0115a11822303c20,0,/m/04yx4,0.0631249994,0.5012500286,0.06763999909,0.9923139811
01168d6ebacdb880,0,/m/07j7r,0.8249999881,0.9993749857,0.005638999864,0.6362779737
011ac6f25144f26c,0,/m/07j7r,0.8304690123,0.9992190003,0.0,0.6518819928
011fc701db0f980e,0,/m/01mzpv,0.8143749833,0.9993749857,0.66416502,0.9990620017
01206d16363b3042,0,/m/07j7r,0.0,0.3068749905,0.02416699938,0.5975000262
01255d64e416bb88,0,/m/04yx4,0.6043750048,0.7281249762,0.1555760056,0.7469540238
0128f08438f7d6f6,0,/m/04yx4,0.3462499976,0.5749999881,0.09474699944,1.0
012aff6b27dfb64a,0,/m/06msq,0.6537500024,0.9250000119,0.2849999964,0.5774999857
012fbcc5db3bfb41,0,/m/08dz3q,0.6181250215,0.9893749952,0.0,0.9991090298
0136558f5c9396fc,0,/m/03k3r,0.5543749928,0.7381250262,0.4718570113,0.9765480161
0138ac56925d6c17,0,/m/01g317,0.7462499738,0.9993749857,0.1335950047,0.9990180135
01404c0f6d3368d1,0,/m/0d4v4,0.3174999952,0.9993749857,0.003333000001,0.9991670251
014070fcb3163e4b,0,/m/01g317,0.1733330041,0.349999994,0.8762500286,1.0
0144702f16ed51c6,0,/m/03bt1vf,0.2006250024,0.3081249893,0.3730080128,0.7225869894
014ce3f81cf6b871,0,/m/0138tl,0.7893750072,0.9893749952,0.7729830146,0.9990620017
014e7aa38eddfd7d,0,/m/0hf58v5,0.7124999762,0.8359379768,0.6145830154,0.7854170203
0150bc8c6233dc73,0,/m/0342h,0.6660450101,0.9253730178,0.4325000048,0.5274999738
0152e8b995948fd8,0,/m/07j7r,0.8231250048,0.9993749857,0.05909899995,0.5600370169
01531d0761729f92,0,/m/04yx4,0.4201920033,0.6019229889,0.1864079982,0.4582520127
0159ab00dd0e9eb5,0,/m/01g317,0.05428599939,0.5142859817,0.2935560048,0.9713600278
015b6db3f336896c,0,/m/0cdl1,0.7268750072,0.8112499714,0.3405250013,0.6557220221
015e02a377d65a2f,0,/m/09j5n,0.4305799901,0.733743012,0.4300000072,0.7068750262
015e0aca3cfad145,0,/m/0grw1,0.5874999762,0.7318750024,0.6444650292,0.7889310122
01661121cfeb0947,0,/m/01mzpv,0.3506940007,0.4618059993,0.5659719706,0.9166669846
0174ac5be029be70,0,/m/07jdr,0.0,0.3412500024,0.2991530001,0.7271869779
01766ae1fee2cfd2,0,/m/0d4v4,0.0631249994,0.2362499982,0.04500000179,0.3416669965
0178bda52c54d226,0,/m/07j7r,0.015625,0.1833329946,0.03046900034,0.1695310026
017da1bdf12bf8f6,0,/m/04yx4,0.3918749988,0.6187499762,0.01597700082,0.9990599751
017f4b2ee04c62b0,0,/m/07j7r,0.2687500119,0.390625,0.0,0.2525030077
0182483055752a67,0,/m/01g317,0.2137500048,0.412499994,0.1398600042,0.6253749728
0182bc5fadd712f2,0,/m/03bt1vf,0.4812499881,0.6568750143,0.3480300009,0.9990620017
018611dc4842ccaa,0,/m/03bt1vf,0.4031249881,0.5724999905,0.393332988,0.6016669869
0189de61d70fabfe,0,/m/07j7r,0.3581250012,0.5299999714,0.1251920015,0.2795700133
018dea1fc40a7910,0,/m/04yx4,0.5214629769,0.9992049932,0.1268749982,0.9993749857
0192c45b18103e6a,0,/m/09728,0.3859379888,0.8609369993,0.5234379768,0.734375
0197ec3fa849fe40,0,/m/04yx4,0.193749994,0.5756250024,0.2936210036,0.9577860236
019c9cdce96537df,0,/m/03fp41,0.134375006,0.3293749988,0.120833002,0.4383330047
01a865ae4297adb0,0,/m/0cgh4,0.7468749881,0.9931250215,0.1966670007,0.5808330178
01aad32ccfb563aa,0,/m/04yx4,0.34375,0.9087499976,0.2022580057,0.9463779926
01ababc0c97bda0a,0,/m/04rky,0.05253300071,0.4774860144,0.4600000083,0.7887499928
01ac2e2d27d2ef4d,0,/m/04bcr3,0.0,0.9168750048,0.7035650015,0.9990620017
01bde80d70e5dce2,0,/m/09j2d,0.1453129947,0.2390629947,0.3354170024,0.7020829916
01c2091bdd5b8bd0,0,/m/01n5jq,0.1883330047,0.739166975,0.2224999964,0.8500000238
01cd7a7895feac64,0,/m/0gjbg72,0.5906249881,0.6568750143,0.3527199924,0.9765480161
01d2e38c0ebc6a3c,0,/m/04yx4,0.6009110212,0.7799479961,0.2441409975,0.8583980203
01d5225ddd738b47,0,/m/08pbxl,0.4656249881,0.8568750024,0.5049999952,0.9991670251
01d5e87f51409a28,0,/m/0c9ph5,0.4070180058,0.6561400294,0.3250559866,0.6252819896
01d67c6f223705c6,0,/m/04bcr3,0.8296869993,0.9976559877,0.8509389758,0.9988260269
01d81023157e9043,0,/m/0cyf8,0.5625,0.8381249905,0.4497649968,0.6497650146
01d85d44b34d7b4b,0,/m/0c9ph5,0.5687500238,0.984375,0.5367270112,0.7018179893
01d8bf748c8ef43e,0,/m/03bt1vf,0.5158330202,0.7983329892,0.6912500262,0.9512500167
01e178f0335f1f42,0,/m/079cl,0.3095679879,0.5844280124,0.09687499702,0.4050000012
01ed0d5c39cf698a,0,/m/03fp41,0.0387500003,0.7024999857,0.03752300143,0.9587240219
01edc7936710d4ba,0,/m/0cmf2,0.0,0.9993749857,0.09544699639,0.5516639948
01f528068ab996ed,0,/m/05s2s,0.8599119782,0.9993749857,0.00313499989,0.1473349929
01fb4a59628ef325,0,/m/07j7r,0.3662500083,0.6225000024,0.0,0.6513590217
020294a97cbd1bba,0,/m/04dr76w,0.5379999876,0.7360000014,0.2721650004,0.9567009807
0203c8d86d4e98e3,0,/m/01g317,0.6681249738,0.7937499881,0.3542639911,0.7422680259
0208bc6ff8213d68,0,/m/04yx4,0.5174999833,0.9191669822,0.1190200001,0.9988330007
020ec8bcd42ccfd2,0,/m/04yx4,0.8018749952,0.8868749738,0.1541669965,0.8083329797
020f672345d8c3d0,0,/m/02522,0.02250000089,0.4950000048,0.0,0.4050000012
021308fcd9c9f98a,0,/m/07j7r,0.7481250167,0.9993749857,0.0,0.6378989816
021a2f2ab3934f28,0,/m/0h8mhzd,0.0,0.07282900065,0.2949999869,0.8568750024
021fbb417ded1360,0,/m/0dzct,0.0,0.1106249988,0.05999999866,0.3199999928
0220a434aa8bf029,0,/m/0h8n6ft,0.0,0.9296879768,0.4423829913,0.9990230203
